state,district,mukim
Melaka,Melaka Tengah,Mukim Tanjong Kling
Melaka,Melaka Tengah,Mukim Tanjong Minyak
Melaka,Melaka Tengah,Mukim Telok Mas
Melaka,Melaka Tengah,Mukim Ujong Pasir
Negeri Sembilan,Jelebu,Mukim Glami Lemi
Negeri Sembilan,Jelebu,Mukim Kenaboi
Negeri Sembilan,Jelebu,Mukim Kuala Klawang
Negeri Sembilan,Jelebu,Mukim Peradong
Negeri Sembilan,Jelebu,Mukim Serting Ulu
Negeri Sembilan,Jelebu,Mukim Triang Ilir
Negeri Sembilan,Jelebu,Mukim Ulu Klawang
Negeri Sembilan,Jelebu,Mukim Ulu Triang
Negeri Sembilan,Jempol,Mukim Jelai
Negeri Sembilan,Jempol,Mukim Kuala Jempol
Negeri Sembilan,Jempol,Mukim Rompin
Negeri Sembilan,Jempol,Mukim Serting Hilir
Negeri Sembilan,Kuala Pilah,Mukim Ampang Tinggi
Negeri Sembilan,Kuala Pilah,Mukim Johol
Negeri Sembilan,Kuala Pilah,Mukim Juasseh
Negeri Sembilan,Kuala Pilah,Mukim Kepis
Negeri Sembilan,Kuala Pilah,Mukim Langkap
Negeri Sembilan,Kuala Pilah,Mukim Parit Tinggi
Negeri Sembilan,Kuala Pilah,Mukim Pilah
Negeri Sembilan,Kuala Pilah,Mukim Sri Menanti
Negeri Sembilan,Kuala Pilah,Mukim Terachi
Negeri Sembilan,Kuala Pilah,Mukim Ulu Jempol
Negeri Sembilan,Kuala Pilah,Mukim Ulu Muar
Negeri Sembilan,Port Dickson,Mukim Jimah
Negeri Sembilan,Port Dickson,Mukim Linggi
Negeri Sembilan,Port Dickson,Mukim Pasir Panjang
Negeri Sembilan,Port Dickson,Mukim Port Dickson
Negeri Sembilan,Port Dickson,Mukim Si Rusa
Negeri Sembilan,Rembau,Mukim Batu Hampar
Negeri Sembilan,Rembau,Mukim Bongek
Negeri Sembilan,Rembau,Mukim Chembong
Negeri Sembilan,Rembau,Mukim Chengkau
Negeri Sembilan,Rembau,Mukim Gadong
Negeri Sembilan,Rembau,Mukim Kundor
Negeri Sembilan,Rembau,Mukim Legong Ilir
Negeri Sembilan,Rembau,Mukim Legong Ulu
Negeri Sembilan,Rembau,Mukim Miku
Negeri Sembilan,Rembau,Mukim Nerasau
Negeri Sembilan,Rembau,Mukim Pedas
Negeri Sembilan,Rembau,Mukim Pilin
Negeri Sembilan,Rembau,Mukim Selemak
Negeri Sembilan,Rembau,Mukim Semerbok
Negeri Sembilan,Rembau,Mukim Spri
Negeri Sembilan,Rembau,Mukim Tanjong Kling
Negeri Sembilan,Rembau,Mukim Titian Bintangor
Negeri Sembilan,Seremban,Mukim Ampangan
Negeri Sembilan,Seremban,Mukim Labu
Negeri Sembilan,Seremban,Mukim Lenggeng
Negeri Sembilan,Seremban,Mukim Pantai
Negeri Sembilan,Seremban,Mukim Rantau
Negeri Sembilan,Seremban,Mukim Rasah
Negeri Sembilan,Seremban,Mukim Seremban
Negeri Sembilan,Seremban,Mukim Setul
Negeri Sembilan,Tampin,Mukim Air Kuning
Negeri Sembilan,Tampin,Mukim Gemas
Negeri Sembilan,Tampin,Mukim Gemencheh
Negeri Sembilan,Tampin,Mukim Keru
Negeri Sembilan,Tampin,Mukim Repah
Negeri Sembilan,Tampin,Mukim Tampin Tengah
Negeri Sembilan,Tampin,Mukim Tebong
Pahang,Bentong,Mukim Bentong
Pahang,Bentong,Mukim Pelangai
Pahang,Bentong,Mukim Sabai
Pahang,Bera,Mukim Bera
Pahang,Bera,Mukim Triang
Pahang,Cameron Highlands,Mukim Hulu Telom
Pahang,Cameron Highlands,Mukim Ringlet
Pahang,Cameron Highlands,Mukim Tanah Rata
Pahang,Jerantut,Mukim Burau
Pahang,Jerantut,Mukim Hulu Cheka
Pahang,Jerantut,Mukim Hulu Tembeling
Pahang,Jerantut,Mukim Kelola
Pahang,Jerantut,Mukim Kuala Tembeling
Pahang,Jerantut,Mukim Pedah
Pahang,Jerantut,Mukim Pulau Tawar
Pahang,Jerantut,Mukim Tebing Tinggi
Pahang,Jerantut,Mukim Teh
Pahang,Jerantut,Mukim Tembeling
Pahang,Kuantan,Mukim Beserah
Pahang,Kuantan,Mukim Hulu Kuantan
Pahang,Kuantan,Mukim Hulu Lepar
Pahang,Kuantan,Mukim Kuala Kuantan
Pahang,Kuantan,Mukim Penor
Pahang,Kuantan,Mukim Sungai Karang
Pahang,Lipis,Mukim Batu Yon
Pahang,Lipis,Mukim Budu
Pahang,Lipis,Mukim Cheka
Pahang,Lipis,Mukim Gua
Pahang,Lipis,Mukim Hulu Jelai
Pahang,Lipis,Mukim Kechau
Pahang,Lipis,Mukim Kuala Lipis
Pahang,Lipis,Mukim Penjom
Pahang,Lipis,Mukim Tanjung Besar
Pahang,Lipis,Mukim Telang
Pahang,Maran,Mukim Bukit Segumpal
Pahang,Maran,Mukim Chenor
Pahang,Maran,Mukim Kertau
Pahang,Maran,Mukim Luit
Pahang,Pekan,Mukim Bebar
Pahang,Pekan,Mukim Ganchong
Pahang,Pekan,Mukim Kuala Pahang
Pahang,Pekan,Mukim Langgar
Pahang,Pekan,Mukim Lepar
Pahang,Pekan,Mukim Pahang Tua
Pahang,Pekan,Mukim Pekan
Pahang,Pekan,Mukim Penyor
Pahang,Pekan,Mukim Pulau Manis
Pahang,Pekan,Mukim Pulau Rusa
Pahang,Pekan,Mukim Temai
Pahang,Raub,Mukim Batu Talam
Pahang,Raub,Mukim Dong
Pahang,Raub,Mukim Gali
Pahang,Raub,Mukim Hulu Dong
Pahang,Raub,Mukim Sega
Pahang,Raub,Mukim Semantan Hulu
Pahang,Raub,Mukim Teras
Pahang,Rompin,Mukim Endau
Pahang,Rompin,Mukim Keratong
Pahang,Rompin,Mukim Pontian
Pahang,Rompin,Mukim Rompin
Pahang,Rompin,Mukim Tioman
Pahang,Temerloh,Mukim Bangau
Pahang,Temerloh,Mukim Jenderak
Pahang,Temerloh,Mukim Kerdau
Pahang,Temerloh,Mukim Lebak
Pahang,Temerloh,Mukim Lipat Kajang
Pahang,Temerloh,Mukim Mentakab
Pahang,Temerloh,Mukim Perak
Pahang,Temerloh,Mukim Sanggang
Pahang,Temerloh,Mukim Semantan
Pahang,Temerloh,Mukim Songsang
Perak,Bagan Datuk,Mukim Bagan Datuk
Perak,Bagan Datuk,Mukim Hutan Melintang
Perak,Bagan Datuk,Mukim Rungkup
Perak,Bagan Datuk,Mukim Teluk Baru
Perak,Batang Padang,Mukim Batang Padang
Perak,Batang Padang,Mukim Bidor
Perak,Batang Padang,Mukim Chenderiang
Perak,Batang Padang,Mukim Sungkai
Perak,Hilir Perak,Mukim Changkat Jong
Perak,Hilir Perak,Mukim Durian Sebatang
Perak,Hilir Perak,Mukim Labu Kubong
Perak,Hilir Perak,Mukim Sungai Durian
Perak,Hilir Perak,Mukim Sungai Manik
Perak,Hulu Perak,Mukim Belukar Semang
Perak,Hulu Perak,Mukim Belum
Perak,Hulu Perak,Mukim Durian Pipit
Perak,Hulu Perak,Mukim Gerik
Perak,Hulu Perak,Mukim Kenering
Perak,Hulu Perak,Mukim Kerunai
Perak,Hulu Perak,Mukim Lenggong
Perak,Hulu Perak,Mukim Pengkalan Hulu
Perak,Hulu Perak,Mukim Temelong
Perak,Hulu Perak,Mukim Temengor
Perak,Kampar,Mukim Kampar
Perak,Kampar,Mukim Teja
Perak,Kerian,Mukim Bagan Serai
Perak,Kerian,Mukim Bagan Tiang
Perak,Kerian,Mukim Beriah
Perak,Kerian,Mukim Gunong Semanggol
Perak,Kerian,Mukim Kuala Kurau
Perak,Kerian,Mukim Parit Buntar
Perak,Kerian,Mukim Selinsing
Perak,Kerian,Mukim Tanjong Piandang
Perak,Kinta,Mukim Belanja
Perak,Kinta,Mukim Hulu Kinta
Perak,Kinta,Mukim Sungai Raya
Perak,Kinta,Mukim Sungai Terap
Perak,Kinta,Mukim Tanjong Tualang
Perak,Kuala Kangsar,Mukim Chegar Galah
Perak,Kuala Kangsar,Mukim Kampong Buaya
Perak,Kuala Kangsar,Mukim Kota Lama Kanan
Perak,Kuala Kangsar,Mukim Kota Lama Kiri
Perak,Kuala Kangsar,Mukim Lubok Merbau
Perak,Kuala Kangsar,Mukim Pulau Kamiri
Perak,Kuala Kangsar,Mukim Sayung
Perak,Kuala Kangsar,Mukim Senggang
Perak,Kuala Kangsar,Mukim Sungai Siput
Perak,Larut Dan Matang,Mukim Asam Kumbang
Perak,Larut Dan Matang,Mukim Batu Kurau
Perak,Larut Dan Matang,Mukim Bukit Gantang
Perak,Larut Dan Matang,Mukim Hulu Ijok
Perak,Larut Dan Matang,Mukim Hulu Selama
Perak,Larut Dan Matang,Mukim Jebong
Perak,Larut Dan Matang,Mukim Kamunting
Perak,Larut Dan Matang,Mukim Pengkalan Aor
Perak,Larut Dan Matang,Mukim Selama
Perak,Larut Dan Matang,Mukim Simpang
Perak,Larut Dan Matang,Mukim Sungai Limau
Perak,Larut Dan Matang,Mukim Sungai Tinggi
Perak,Larut Dan Matang,Mukim Terung
Perak,Larut Dan Matang,Mukim Tupai
Perak,Manjung,Mukim Beruas
Perak,Manjung,Mukim Lekir
Perak,Manjung,Mukim Lumut
Perak,Manjung,Mukim Pengkalan Baharu
Perak,Manjung,Mukim Sitiawan
Perak,Muallim,Mukim Hulu Bernam Barat
Perak,Muallim,Mukim Hulu Bernam Timur
Perak,Muallim,Mukim Slim
Perak,Perak Tengah,Mukim Bandar
Perak,Perak Tengah,Mukim Belanja
Perak,Perak Tengah,Mukim Bota
Perak,Perak Tengah,Mukim Jaya Baru
Perak,Perak Tengah,Mukim Kampong Gajah
Perak,Perak Tengah,Mukim Kota Setia
Perak,Perak Tengah,Mukim Lambor Kanan
Perak,Perak Tengah,Mukim Lambor Kiri
Perak,Perak Tengah,Mukim Layang Layang
Perak,Perak Tengah,Mukim Pasir Panjang Hulu
Perak,Perak Tengah,Mukim Pasir Salak
Perak,Perak Tengah,Mukim Pulau Tiga
Perlis,Perlis,Mukim Abi
Perlis,Perlis,Mukim Arau
Perlis,Perlis,Mukim Beseri
Perlis,Perlis,Mukim Chuping
Perlis,Perlis,Mukim Jejawi
Perlis,Perlis,Mukim Kayang
Perlis,Perlis,Mukim Kechor
Perlis,Perlis,Mukim Kuala Perlis
Perlis,Perlis,Mukim Kurong Anai
Perlis,Perlis,Mukim Kurong Batang
Perlis,Perlis,Mukim Ngulang
Perlis,Perlis,Mukim Oran
Perlis,Perlis,Mukim Padang Pauh
Perlis,Perlis,Mukim Padang Siding
Perlis,Perlis,Mukim Paya
Perlis,Perlis,Mukim Sanglang
Perlis,Perlis,Mukim Sena
Perlis,Perlis,Mukim Seriab
Perlis,Perlis,Mukim Sungai Adam
Perlis,Perlis,Mukim Titi Tinggi
Perlis,Perlis,Mukim Utan Aji
Perlis,Perlis,Mukim Wang Bintong
Pulau Pinang,Barat Daya,Bandar Balik Pulau
Pulau Pinang,Barat Daya,Mukim 1
Pulau Pinang,Barat Daya,Mukim 10
Pulau Pinang,Barat Daya,Mukim 11
Pulau Pinang,Barat Daya,Mukim 12
Pulau Pinang,Barat Daya,Mukim 2
Pulau Pinang,Barat Daya,Mukim 3
Pulau Pinang,Barat Daya,Mukim 4
Pulau Pinang,Barat Daya,Mukim 5
Pulau Pinang,Barat Daya,Mukim 6
Pulau Pinang,Barat Daya,Mukim 7
Pulau Pinang,Barat Daya,Mukim 8
Pulau Pinang,Barat Daya,Mukim 9
Pulau Pinang,Barat Daya,Mukim A
Pulau Pinang,Barat Daya,Mukim B
Pulau Pinang,Barat Daya,Mukim C
Pulau Pinang,Barat Daya,Mukim D
Pulau Pinang,Barat Daya,Mukim E
Pulau Pinang,Barat Daya,Mukim F
Pulau Pinang,Barat Daya,Mukim G
Pulau Pinang,Barat Daya,Mukim H
Pulau Pinang,Barat Daya,Mukim I
Pulau Pinang,Barat Daya,Mukim J
Pulau Pinang,Seberang Perai Selatan,Mukim 1
Pulau Pinang,Seberang Perai Selatan,Mukim 10
Pulau Pinang,Seberang Perai Selatan,Mukim 11
Pulau Pinang,Seberang Perai Selatan,Mukim 12
Pulau Pinang,Seberang Perai Selatan,Mukim 13
Pulau Pinang,Seberang Perai Selatan,Mukim 14
Pulau Pinang,Seberang Perai Selatan,Mukim 15
Pulau Pinang,Seberang Perai Selatan,Mukim 16
Pulau Pinang,Seberang Perai Selatan,Mukim 2
Pulau Pinang,Seberang Perai Selatan,Mukim 3
Pulau Pinang,Seberang Perai Selatan,Mukim 4
Pulau Pinang,Seberang Perai Selatan,Mukim 5
Pulau Pinang,Seberang Perai Selatan,Mukim 6
Pulau Pinang,Seberang Perai Selatan,Mukim 7
Pulau Pinang,Seberang Perai Selatan,Mukim 8
Pulau Pinang,Seberang Perai Selatan,Mukim 9
Pulau Pinang,Seberang Perai Tengah,Bandar Bukit Mertajam
Pulau Pinang,Seberang Perai Tengah,Bandar Prai
Pulau Pinang,Seberang Perai Tengah,Mukim 1
Pulau Pinang,Seberang Perai Tengah,Mukim 10
Pulau Pinang,Seberang Perai Tengah,Mukim 11
Pulau Pinang,Seberang Perai Tengah,Mukim 12
Pulau Pinang,Seberang Perai Tengah,Mukim 13
Pulau Pinang,Seberang Perai Tengah,Mukim 14
Pulau Pinang,Seberang Perai Tengah,Mukim 15
Pulau Pinang,Seberang Perai Tengah,Mukim 16
Pulau Pinang,Seberang Perai Tengah,Mukim 17
Pulau Pinang,Seberang Perai Tengah,Mukim 18
Pulau Pinang,Seberang Perai Tengah,Mukim 19
Pulau Pinang,Seberang Perai Tengah,Mukim 2
Pulau Pinang,Seberang Perai Tengah,Mukim 20
Pulau Pinang,Seberang Perai Tengah,Mukim 21
Pulau Pinang,Seberang Perai Tengah,Mukim 3
Pulau Pinang,Seberang Perai Tengah,Mukim 4
Pulau Pinang,Seberang Perai Tengah,Mukim 5
Pulau Pinang,Seberang Perai Tengah,Mukim 6
Pulau Pinang,Seberang Perai Tengah,Mukim 7
Pulau Pinang,Seberang Perai Tengah,Mukim 8
Pulau Pinang,Seberang Perai Tengah,Mukim 9
Pulau Pinang,Seberang Perai Utara,Bandar Butterworth
Pulau Pinang,Seberang Perai Utara,Bandar Kepala Batas
Pulau Pinang,Seberang Perai Utara,Mukim 1
Pulau Pinang,Seberang Perai Utara,Mukim 10
Pulau Pinang,Seberang Perai Utara,Mukim 11
Pulau Pinang,Seberang Perai Utara,Mukim 12
Pulau Pinang,Seberang Perai Utara,Mukim 13
Pulau Pinang,Seberang Perai Utara,Mukim 14
Pulau Pinang,Seberang Perai Utara,Mukim 16
Pulau Pinang,Seberang Perai Utara,Mukim 2
Pulau Pinang,Seberang Perai Utara,Mukim 3
Pulau Pinang,Seberang Perai Utara,Mukim 4
Pulau Pinang,Seberang Perai Utara,Mukim 5
Pulau Pinang,Seberang Perai Utara,Mukim 6
Pulau Pinang,Seberang Perai Utara,Mukim 7
Pulau Pinang,Seberang Perai Utara,Mukim 8
Pulau Pinang,Seberang Perai Utara,Mukim 9
Pulau Pinang,Timur Laut,Bandar Ayer Itam
Pulau Pinang,Timur Laut,Bandar Batu Ferringgi
Pulau Pinang,Timur Laut,Bandar Bukit Bendera
Pulau Pinang,Timur Laut,Bandar George Town
Pulau Pinang,Timur Laut,Bandar Glugor
Pulau Pinang,Timur Laut,Bandar Jelutong
Pulau Pinang,Timur Laut,Bandar Tanjong Bungah
Pulau Pinang,Timur Laut,Bandar Tanjong Pinang
Pulau Pinang,Timur Laut,Mukim 13
Pulau Pinang,Timur Laut,Mukim 14
Pulau Pinang,Timur Laut,Mukim 15
Pulau Pinang,Timur Laut,Mukim 16
Pulau Pinang,Timur Laut,Mukim 17
Pulau Pinang,Timur Laut,Mukim 18
Sabah,Beaufort,Beaufort
Sabah,Beluran,Beluran
Sabah,Kalabakan,Kalabakan
Sabah,Keningau,Keningau
Sabah,Kinabatangan,Kinabatangan
Sabah,Kota Belud,Kota Belud
Sabah,Kota Kinabalu,Kota Kinabalu
Sabah,Kota Marudu,Kota Marudu
Sabah,Kuala Penyu,Kuala Penyu
Sabah,Kudat,Kudat
Sabah,Kunak,Kunak
Sabah,Lahad Datu,Lahad Datu
Sabah,Nabawan,Nabawan
Sabah,Papar,Papar
Sabah,Penampang,Penampang
Sabah,Pitas,Pitas
Sabah,Putatan,Putatan
Sabah,Ranau,Ranau
Sabah,Sandakan,Sandakan
Sabah,Semporna,Semporna
Sabah,Sipitang,Sipitang
Sabah,Tambunan,Tambunan
Sabah,Tawau,Tawau
Sabah,Telupid,Telupid
Sabah,Tenom,Tenom
Sabah,Tongod,Tongod
Sabah,Tuaran,Tuaran
Sarawak,Asajaya,Sadong Land District
Sarawak,Bau,Jagoi Land District
Sarawak,Bau,Senggi-Poak Land District
Sarawak,Belaga,Balui Land District
Sarawak,Belaga,Batu Laga Land District
Sarawak,Belaga,Danum Land District
Sarawak,Belaga,Mamau Land District
Sarawak,Belaga,Murum Land District
Sarawak,Belaga,Punan Land District
Sarawak,Beluru,Bakong Land District
Sarawak,Beluru,Bok Land District
Sarawak,Beluru,Dulit Land District
Sarawak,Beluru,Lepu Laju Land District
Sarawak,Beluru,Tinjar Land District
Sarawak,Betong,Batu Api Land District
Sarawak,Betong,Entaban Land District
Sarawak,Betong,Paku Land District
Sarawak,Betong,Rimbas Land District
Sarawak,Betong,Sadok Land District
Sarawak,Bintulu,Kemena Land District
Sarawak,Bukit Mabong,Baning Land District
Sarawak,Bukit Mabong,Entemu Land District
Sarawak,Bukit Mabong,Kumbong Land District
Sarawak,Bukit Mabong,Majau Land District
Sarawak,Bukit Mabong,Mengiong Land District
Sarawak,Bukit Mabong,Merirai Land District
Sarawak,Bukit Mabong,Oyan Land District
Sarawak,Bukit Mabong,Serani Land District
Sarawak,Bukit Mabong,Suau Land District
Sarawak,Dalat,Baoh Land District
Sarawak,Dalat,Oya-Dalat Land District
Sarawak,Daro,Bruit Land District
Sarawak,Daro,Semah Land District
Sarawak,Julau,Jikang Land District
Sarawak,Julau,Melurun Land District
Sarawak,Julau,Tekoyong Land District
Sarawak,Kabong,Kalaka Land District
Sarawak,Kabong,Seblak Land District
Sarawak,Kanowit,Lukut Land District
Sarawak,Kanowit,Mapai Land District
Sarawak,Kanowit,Maroh Land District
Sarawak,Kanowit,Spali Land District
Sarawak,Kapit,Ibau Land District
Sarawak,Kapit,Menuan Land District
Sarawak,Kapit,Metah Land District
Sarawak,Kapit,Pelagus Land District
Sarawak,Kapit,Rirong Land District
Sarawak,Kuching,Kuching North Land District
Sarawak,Kuching,Kuching Town Land District
Sarawak,Kuching,Matang Land District
Sarawak,Kuching,Muara Tebas Land District
Sarawak,Kuching,Pangkalan Ampat Land District
Sarawak,Kuching,Salak Land District
Sarawak,Kuching,Sentah-Segu Land District
Sarawak,Kuching,Sentah-Segu Land District
Sarawak,Kuching,Sentah-Segu Land District
Sarawak,Lawas,Bakelalan Land District
Sarawak,Lawas,Lawas Land District
Sarawak,Lawas,Long Merarap Land District
Sarawak,Lawas,Long Semado Land District
Sarawak,Lawas,Merapok Land District
Sarawak,Lawas,Tengoa-Sukang Land District
Sarawak,Lawas,Trusan Land District
Sarawak,Limbang,Batu Lawi Land District
Sarawak,Limbang,Danau Land District
Sarawak,Limbang,Long Napir Land District
Sarawak,Limbang,Pandaruan Land District
Sarawak,Limbang,Sungai Adang Land District
Sarawak,Limbang,Sungai Medalam Land District
Sarawak,Lubok Antu,Ai Engkari Land District
Sarawak,Lubok Antu,Bukit Besai Land District
Sarawak,Lubok Antu,Kranggas Land District
Sarawak,Lubok Antu,Lemanak Land District
Sarawak,Lubok Antu,Marup Land District
Sarawak,Lubok Antu,Skrang Land District
Sarawak,Lundu,Gading Lundu Land District
Sarawak,Lundu,Pueh Land District
Sarawak,Lundu,Sampadi Land District
Sarawak,Lundu,Stungkor Land District
Sarawak,Maradong,Maradong Land District
Sarawak,Maradong,Seredeng Land District
Sarawak,Maradong,Tulai Land District
Sarawak,Marudi,Apoh Land District
Sarawak,Marudi,Kamunting Land District
Sarawak,Marudi,Puyut Land District
Sarawak,Marudi,Teraja Land District
Sarawak,Matu,Jemoreng Land District
Sarawak,Matu,Lassa Land District
Sarawak,Matu,Retus Land District
Sarawak,Miri,Bareo Land District
Sarawak,Miri,Kuala Baram Land District
Sarawak,Miri,Lambir Land District
Sarawak,Miri,Lio Matoh Land District
Sarawak,Miri,Miri Concession Land District
Sarawak,Mukah,Balingian Land District
Sarawak,Mukah,Bawan Land District
Sarawak,Mukah,Mukah Land District
Sarawak,Mukah,Sikat Land District
Sarawak,Pakan,Pedanum Land District
Sarawak,Pusa,Sablor Land District
Sarawak,Pusa,Triso Land District
Sarawak,Samarahan,Kuching Central Land District
Sarawak,Samarahan,Muara Tuang Land District
Sarawak,Samarahan,Samarahan Land District
Sarawak,Saratok,Awik-Krian Land District
Sarawak,Saratok,Budu Land District
Sarawak,Sarikei,Sare Land District
Sarawak,Sarikei,Sarikei Land District
Sarawak,Sebauh,Batu Kapal Land District
Sarawak,Sebauh,Binio Land District
Sarawak,Sebauh,Jelalong Land District
Sarawak,Sebauh,Lavang Land District
Sarawak,Sebauh,Pandan Land District
Sarawak,Sebauh,Rasan Land District
Sarawak,Sebauh,Selezu Land District
Sarawak,Selangau,Arip Land District
Sarawak,Selangau,Buloh Land District
Sarawak,Selangau,Gigis Land District
Sarawak,Selangau,Lalai Land District
Sarawak,Selangau,Paku Land District
Sarawak,Selangau,Pelugau Land District
Sarawak,Selangau,Selangau Land District
Sarawak,Selangau,Spapa Land District
Sarawak,Serian,Bukar-Sadong Land District
Sarawak,Serian,Melikin Land District
Sarawak,Serian,Punda-Sabal  Land District
Sarawak,Serian,Samarahan Land District
Sarawak,Serian,Sedilu-Gedong Land District
Sarawak,Sibu,Assan Land District
Sarawak,Sibu,Engkilo Land District
Sarawak,Sibu,Kabang Land District
Sarawak,Sibu,Menyan Land District
Sarawak,Sibu,Pasai-Siong Land District
Sarawak,Sibu,Seduan Land District
Sarawak,Simunjan,Bukar-Sadong Land District
Sarawak,Simunjan,Melikin Land District
Sarawak,Simunjan,Menuku Land District
Sarawak,Simunjan,Punda-Sabal  Land District
Sarawak,Simunjan,Sebangan-Kepayang Land District
Sarawak,Simunjan,Sedilu-Gedong Land District
Sarawak,Song,Angkuah Land District
Sarawak,Song,Bangkit Land District
Sarawak,Song,Katibas Land District
Sarawak,Song,Plandok Land District
Sarawak,Sri Aman,Bijat Land District
Sarawak,Sri Aman,Klauh Land District
Sarawak,Sri Aman,Lesong Land District
Sarawak,Sri Aman,Selanjan Land District
Sarawak,Sri Aman,Silantek Land District
Sarawak,Sri Aman,Undup Land District
Sarawak,Subis,Bukit Kisi Land District
Sarawak,Subis,Niah Land District
Sarawak,Subis,Sawai Land District
Sarawak,Subis,Sibuti Land District
Sarawak,Subis,Suai Land District
Sarawak,Tanjung Manis,Buan Land District
Sarawak,Tanjung Manis,Kedang Land District
Sarawak,Tatau,Anap Land District
Sarawak,Tatau,Buan Land District
Sarawak,Tatau,Kakus Land District
Sarawak,Tatau,Sangan Land District
Sarawak,Tebedu,Kayan Land District
Sarawak,Tebedu,Pangkalan Ampat Land District
Sarawak,Tebedu,Sungai Kedup Land District
Sarawak,Telang Usan,Akah Land District
Sarawak,Telang Usan,Patah Land District
Sarawak,Telang Usan,Silat Land District
Sarawak,Telang Usan,Telang Usang Land District
Sarawak,Telang Usan,Tutoh Land District
Selangor,Gombak,Bandar Selayang
Selangor,Gombak,Mukim Batu
Selangor,Gombak,Mukim Rawang
Selangor,Gombak,Mukim Setapak
Selangor,Gombak,Mukim Ulu Kelang
Selangor,Hulu Langat,Mukim Ampang
Selangor,Hulu Langat,Mukim Beranang
Selangor,Hulu Langat,Mukim Cheras
Selangor,Hulu Langat,Mukim Hulu Langat
Selangor,Hulu Langat,Mukim Kajang
Selangor,Hulu Langat,Mukim Semenyih
Selangor,Hulu Langat,Mukim Ulu Semenyih
Selangor,Hulu Selangor,Mukim Ampang Pechah
Selangor,Hulu Selangor,Mukim Batang Kali
Selangor,Hulu Selangor,Mukim Buloh Telor
Selangor,Hulu Selangor,Mukim Kalumpang
Selangor,Hulu Selangor,Mukim Kerling
Selangor,Hulu Selangor,Mukim Kuala Kalumpang
Selangor,Hulu Selangor,Mukim Peretak
Selangor,Hulu Selangor,Mukim Rasa
Selangor,Hulu Selangor,Mukim Serendah
Selangor,Hulu Selangor,Mukim Sungai Gumut
Selangor,Hulu Selangor,Mukim Sungai Tinggi
Selangor,Hulu Selangor,Mukim Ulu Bernam
Selangor,Hulu Selangor,Mukim Ulu Yam
Selangor,Klang,Mukim Kapar
Selangor,Klang,Mukim Klang
Selangor,Kuala Langat,Mukim Bandar
Selangor,Kuala Langat,Mukim Batu
Selangor,Kuala Langat,Mukim Jugra
Selangor,Kuala Langat,Mukim Kelanang
Selangor,Kuala Langat,Mukim Morib
Selangor,Kuala Langat,Mukim Tanjong Duabelas
Selangor,Kuala Langat,Mukim Telok Panglima Garang
Selangor,Kuala Selangor,Mukim Api-Api
Selangor,Kuala Selangor,Mukim Bestari Jaya
Selangor,Kuala Selangor,Mukim Ijok
Selangor,Kuala Selangor,Mukim Jeram
Selangor,Kuala Selangor,Mukim Kuala Selangor
Selangor,Kuala Selangor,Mukim Pasangan
Selangor,Kuala Selangor,Mukim Tanjong Karang
Selangor,Kuala Selangor,Mukim Ujong Permatang
Selangor,Kuala Selangor,Mukim Ulu Tinggi
Selangor,Petaling,Mukim Bukit Raja
Selangor,Petaling,Mukim Damansara
Selangor,Petaling,Mukim Petaling
Selangor,Petaling,Mukim Sungai Buloh
Selangor,Sabak Bernam,Mukim Bagan Nakhoda Omar
Selangor,Sabak Bernam,Mukim Panchang Bedena
Selangor,Sabak Bernam,Mukim Pasir Panjang
Selangor,Sabak Bernam,Mukim Sabak
Selangor,Sabak Bernam,Mukim Sungai Panjang
Selangor,Sepang,Bandar Cyberjaya
Selangor,Sepang,Mukim Dengkil
Selangor,Sepang,Mukim Labu
Selangor,Sepang,Mukim Sepang
Terengganu,Besut,Mukim Bukit Kenak
Terengganu,Besut,Mukim Bukit Peteri
Terengganu,Besut,Mukim Hulu Besut
Terengganu,Besut,Mukim Jabi
Terengganu,Besut,Mukim Kampung Raja
Terengganu,Besut,Mukim Keluang
Terengganu,Besut,Mukim Kerandang
Terengganu,Besut,Mukim Kuala Besut
Terengganu,Besut,Mukim Kubang Bemban
Terengganu,Besut,Mukim Lubuk Kawah
Terengganu,Besut,Mukim Pangkalan Nangka
Terengganu,Besut,Mukim Pasir Akar
Terengganu,Besut,Mukim Pelagat
Terengganu,Besut,Mukim Pulau Perhentian
Terengganu,Besut,Mukim Tembila
Terengganu,Besut,Mukim Tenang
Terengganu,Dungun,Mukim Besul
Terengganu,Dungun,Mukim Hulu Paka
Terengganu,Dungun,Mukim Jengai
Terengganu,Dungun,Mukim Jerangau
Terengganu,Dungun,Mukim Kuala Abang
Terengganu,Dungun,Mukim Kuala Dungun
Terengganu,Dungun,Mukim Kuala Paka
Terengganu,Dungun,Mukim Kumpal
Terengganu,Dungun,Mukim Pasir Raja
Terengganu,Dungun,Mukim Rasau
Terengganu,Dungun,Mukim Sura
Terengganu,Hulu Terengganu,Mukim Hulu Berang
Terengganu,Hulu Terengganu,Mukim Hulu Telemung
Terengganu,Hulu Terengganu,Mukim Hulu Terengganu
Terengganu,Hulu Terengganu,Mukim Jenagur
Terengganu,Hulu Terengganu,Mukim Kuala Berang
Terengganu,Hulu Terengganu,Mukim Kuala Telemung
Terengganu,Hulu Terengganu,Mukim Penghulu Diman
Terengganu,Hulu Terengganu,Mukim Tanggul
Terengganu,Hulu Terengganu,Mukim Tersat
Terengganu,Kemaman,Mukim Bandi
